Folder: addins, Size: 802
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13225
Folder: Policy.11.0.Microsoft.Office.Interop.InfoPath, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13754
Folder: Policy.11.0.Microsoft.Office.Interop.InfoPath.Xml, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13766
Folder: Policy.11.0.Microsoft.Office.Interop.Outlook, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13239
Folder: Policy.11.0.Microsoft.Office.Interop.OutlookViewCtl, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13788
Folder: Policy.11.0.Microsoft.Office.Interop.PowerPoint, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13256
Folder: Policy.11.0.Microsoft.Office.Interop.Publisher, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13245
Folder: Policy.11.0.Microsoft.Office.Interop.SmartTag, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13242
Folder: Policy.11.0.Microsoft.Office.Interop.Word, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13222
Folder: Policy.11.0.Microsoft.Vbe.Interop, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 13182
Folder: Policy.11.0.office, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 12601
Folder: stdole, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 22541
Folder: VSLangProj, Size: 0
Folder: 7.0.3300.0__b03f5f7f11d50a3a, Size: 69489
Folder: VSLangProj2, Size: 0
Folder: 7.0.5000.0__b03f5f7f11d50a3a, Size: 36218
Folder: VSLangProj80, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 89976
Folder: VslangProj90, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 5320
Folder: VsWebSite.Interop, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 49357
Folder: VsWebSite.Interop100, Size: 0
Folder: 10.0.0.0__b03f5f7f11d50a3a, Size: 30625
Folder: VsWebSite.Interop90, Size: 0
Folder: 9.0.0.0__b03f5f7f11d50a3a, Size: 12495
Folder: GAC_32, Size: 0
Folder: AuditPolicyGPManagedStubs.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 4608
Folder: BDATunePIA, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 238080
Folder: CustomMarshalers, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 69120
Folder: ehexthost32, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 141538
Folder: ISymWrapper, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 72192
Folder: mcstoredb, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 134656
Folder: Microsoft.GroupPolicy.AdmTmplEditor, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 189952
Folder: Microsoft.GroupPolicy.AdmTmplEditor.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 90112
Folder: Microsoft.GroupPolicy.Interop, Size: 0
Folder: 2.0.0.0__31bf3856ad364e35, Size: 145920
Folder: Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 507904
Folder: Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 2.0.0.0__31bf3856ad364e35, Size: 77824
Folder: Microsoft.Office.InfoPath.Client.Internal.Host.Interop, Size: 0
Folder: 12.0.0.0__71e9bce111e9429c, Size: 120408
Folder: Microsoft.Security.ApplicationId.PolicyManagement.PolicyEngineApi.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 8192
Folder: Microsoft.SqlServer.BatchParser, Size: 0
Folder: 10.0.0.0__89845dcd8080cc91, Size: 370528
Folder: 11.0.0.0__89845dcd8080cc91, Size: 381016
Folder: 12.0.0.0__89845dcd8080cc91, Size: 382144
Folder: Microsoft.SqlServer.GridControl, Size: 0
Folder: 10.0.0.0__89845dcd8080cc91, Size: 202600
Folder: 11.0.0.0__89845dcd8080cc91, Size: 212056
Folder: Microsoft.SqlServer.MgdSqlDumper, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 87640
Folder: 12.0.0.0__89845dcd8080cc91, Size: 72896
Folder: Microsoft.SqlServer.Replication, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 1788928
Folder: Microsoft.TeamFoundation.WorkItemTracking.Client.DataStoreLoader, Size: 0
Folder: 11.0.0.0__b03f5f7f11d50a3a, Size: 336320
Folder: Microsoft.Transactions.Bridge.Dtc, Size: 0
Folder: 3.0.0.0__b03f5f7f11d50a3a, Size: 163840
Folder: Microsoft.VisualStudio.Tools.Applications.InteropAdapter, Size: 0
Folder: 8.0.0.0__b03f5f7f11d50a3a, Size: 367400
Folder: Microsoft.Windows.Diagnosis.SDEngine, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 8192
Folder: MSBuild, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 89469
Folder: mscorcfg, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 1718096
Folder: mscorlib, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 5565662
Folder: msshrtmi, Size: 0
Folder: 1.8.0.0__31bf3856ad364e35, Size: 245432
Folder: 2.0.0.0__31bf3856ad364e35, Size: 232632
Folder: mswacdmi, Size: 0
Folder: 1.8.0.0__31bf3856ad364e35, Size: 175288
Folder: napcrypt, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 46080
Folder: naphlpr, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 107008
Folder: Policy.1.0.Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 6074
Folder: Policy.1.0.Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 6.1.7600.16385__31bf3856ad364e35, Size: 6126
Folder: Policy.1.2.Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 6.1.7600.16385__31bf3856ad364e35, Size: 6126
Folder: Policy.1.7.Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 6074
Folder: Policy.6.0.Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 6074
Folder: PresentationCore, Size: 0
Folder: 3.0.0.0__31bf3856ad364e35, Size: 5955577
Folder: System.Data, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 2952704
Folder: System.Data.OracleClient, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 486400
Folder: System.Data.SQLite, Size: 0
Folder: System.EnterpriseServices, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 371712
Folder: System.Printing, Size: 0
Folder: 3.0.0.0__31bf3856ad364e35, Size: 372736
Folder: System.Transactions, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 261632
Folder: System.Web, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 5255168
Folder: WebDev.WebHost20, Size: 0
Folder: 10.0.0.0__b03f5f7f11d50a3a, Size: 50528
Folder: GAC_64, Size: 0
Folder: AuditPolicyGPManagedStubs.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 4608
Folder: BDATunePIA, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 249344
Folder: CustomMarshalers, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 80896
Folder: ISymWrapper, Size: 0
Folder: 2.0.0.0__b03f5f7f11d50a3a, Size: 89600
Folder: mcstoredb, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 139264
Folder: mcupdate, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 198656
Folder: Mcx2Dvcs, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 133120
Folder: Microsoft-Windows-HomeGroupDiagnostic.NetListMgr.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 19968
Folder: Microsoft.GroupPolicy.AdmTmplEditor, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 196096
Folder: Microsoft.GroupPolicy.AdmTmplEditor.Resources, Size: 0
Folder: 6.1.0.0_en_31bf3856ad364e35, Size: 90112
Folder: Microsoft.GroupPolicy.Interop, Size: 0
Folder: 2.0.0.0__31bf3856ad364e35, Size: 151040
Folder: Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 507904
Folder: Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 2.0.0.0__31bf3856ad364e35, Size: 77824
Folder: Microsoft.MediaCenter.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 315392
Folder: Microsoft.MediaCenter.iTV.Media, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 147968
Folder: Microsoft.MediaCenter.Mheg, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 56320
Folder: Microsoft.MediaCenter.Playback, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 114688
Folder: Microsoft.MediaCenter.TV.Tuners.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 327168
Folder: Microsoft.Security.ApplicationId.PolicyManagement.PolicyEngineApi.Interop, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 8192
Folder: Microsoft.SqlServer.BatchParser, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 553048
Folder: 12.0.0.0__89845dcd8080cc91, Size: 554688
Folder: Microsoft.SqlServer.GridControl, Size: 0
Folder: 10.0.0.0__89845dcd8080cc91, Size: 198504
Folder: 11.0.0.0__89845dcd8080cc91, Size: 207960
Folder: Microsoft.SqlServer.MgdSqlDumper, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 103000
Folder: 12.0.0.0__89845dcd8080cc91, Size: 75456
Folder: Microsoft.SqlServer.Replication, Size: 0
Folder: 11.0.0.0__89845dcd8080cc91, Size: 1964544
Folder: Microsoft.TeamFoundation.WorkItemTracking.Client.DataStoreLoader, Size: 0
Folder: 11.0.0.0__b03f5f7f11d50a3a, Size: 412096
Folder: Microsoft.Transactions.Bridge.Dtc, Size: 0
Folder: 3.0.0.0__b03f5f7f11d50a3a, Size: 163840
Folder: Microsoft.Windows.Diagnosis.SDEngine, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 8192
Folder: MSBuild, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 85373
Folder: mscorcfg, Size: 0
Folder: 3.5.0.0__b03f5f7f11d50a3a, Size: 1714000
Folder: mscorlib, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 5582046
Folder: msshrtmi, Size: 0
Folder: 1.8.0.0__31bf3856ad364e35, Size: 274104
Folder: 2.0.0.0__31bf3856ad364e35, Size: 247480
Folder: mswacdmi, Size: 0
Folder: 1.8.0.0__31bf3856ad364e35, Size: 269496
Folder: napcrypt, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 50176
Folder: naphlpr, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 133632
Folder: Policy.1.0.Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 6.1.7600.16385__31bf3856ad364e35, Size: 5614
Folder: Policy.1.2.Microsoft.Interop.Security.AzRoles, Size: 0
Folder: 6.1.7600.16385__31bf3856ad364e35, Size: 5614
Folder: Policy.6.0.Microsoft.Ink, Size: 0
Folder: 6.1.0.0__31bf3856ad364e35, Size: 5562
Folder: PresentationCore, Size: 0
Folder: 3.0.0.0__31bf3856ad364e35, Size: 6253049
Folder: System.Data, Size: 0
Folder: 2.0.0.0__b77a5c561934e089, Size: 3124224
Folder: System.Data.OracleClient, Size: 0
